State,2011_Persons,2011_Male,2011_Female,2012_Persons,2012_Male,2012_Female,2013_Persons,2013_Male,2013_Female,2016_Persons,2016_Male,2016_Female,2021_Persons,2021_Male,2021_Female,2026_Persons,2026_Male,2026_ Female
Andhra Pradesh,49471555,24830000,24760000,49567295,24960000,24863000,,,,,,,,,,53401000,26690000,26711000
Arunachal Pradesh,1383727,713912,669815,1382611,720232,662379,1383727,713912,669815,1322000,695000,627000,1386000,728000,658000,1444000,757000,687000
Assam,31205576,15939443,15266133,31169272,15954927,15214345,31205576,15939443,15266133,32673000,16735000,15938000,34375000,17572000,16803000,35747000,18230000,17517000
Bihar,104099452,54278157,49821295,103804637,54185347,49619290,104099452,54278157,49821295,104600000,54014000,50586000,110054000,56639000,53415000,114296000,58616000,55680000
Chandigarh,1055450,580663,474787,10116752,5154178,4962574,10086292,5137773,4948519,1817000,1082000,734000,2289000,1418000,871000,2535000,1621000,915000
Chhattisgarh,25545198,12832895,12712303,25540196,12827915,12712281,25545198,12832895,12712303,26070000,13084000,12986000,27496000,13799000,13698000,28727000,14412000,14316000
Goa,1458545,739140,719405,1457723,740711,717012,1458545,739140,719405,1991000,1076000,915000,2269000,1276000,993000,2261000,1313000,947000
Gujarat,60439692,31491260,28948432,60383628,31482282,28901346,60439692,31491260,28948432,63264000,33388000,29876000,66496000,35224000,31272000,69627000,37002000,32625000
Haryana,25351462,13494734,11856728,25353081,13505130,11847951,25351462,13494734,11856728,27712000,15023000,12690000,29574000,16062000,13511000,31282000,17011000,14271000
Himachal Pradesh,6864602,3481873,3382729,6856509,3473892,3382617,6864602,3481873,3382729,7129000,3654000,3475000,7390000,3797000,3593000,7597000,3912000,3685000
Jammu & Kashmir,12541302,6640662,5900640,12548926,6665561,5883365,12541302,6640662,5900640,12496000,6516000,5981000,13045000,6774000,6271000,13482000,6972000,6510000
Jharkhand,32988134,16930315,16057819,32966238,16931688,16034550,32988134,16930315,16057819,33916000,17436000,16480000,35872000,18405000,17467000,37538000,19217000,18321000
Karnataka,61095297,30966657,30128640,61130704,31057742,30072962,61095297,30966657,30128640,62713000,31782000,30931000,65106000,32957000,32149000,67162000,33957000,33205000
Kerala,33406061,16027412,17378649,33387677,16021290,17366387,33406061,16027412,17378649,35796000,17503000,18293000,36661000,17968000,18694000,37325000,18338000,18987000
Madhya Pradesh,72626809,37612306,35014503,72597565,37612920,34984645,72626809,37612306,35014503,78542000,41013000,37529000,83724000,43742000,39982000,88228000,46085000,42143000
Maharashtra,112374333,58243056,54131277,112372972,58361397,54011575,112374333,58243056,54131277,120914000,63303000,57611000,127888000,67075000,60813000,134019000,70395000,63625000
Manipur,2855794,1438586,1417208,2721756,1369764,1351992,2570390,1290171,1280219,2609000,1313000,1296000,2737000,1375000,1361000,2852000,1431000,1421000
Meghalaya,2966889,1491832,1475057,2964007,1492668,1471339,2966889,1491832,1475057,2792000,1409000,1382000,2929000,1476000,1452000,3052000,1536000,1516000
Mizoram,1097206,555339,541867,1091014,552339,538675,1097206,555339,541867,1070000,550000,519000,1122000,576000,546000,1169000,599000,570000
Nagaland,1978502,1024649,953853,1980602,1025707,954895,1978502,1024649,953853,2395000,1255000,1141000,2513000,1315000,1198000,2618000,1367000,1251000
Orissa,41974218,21212136,20762082,41947358,21201678,20745680,41974218,21212136,20762082,42679000,21534000,21145000,44248000,22283000,21964000,45449000,22830000,22619000
Punjab,27743338,14639465,13103873,27704236,14634819,13069417,27743338,14639465,13103873,29267000,15809000,13458000,30453000,16510000,13944000,31457000,17104000,14352000
Rajasthan,68548437,35550997,32997440,68621012,35620086,33000926,68548437,35550997,32997440,73523000,38392000,35131000,78216000,40851000,37365000,81889000,42750000,39139000
Sikkim,610577,323070,287507,607688,321661,286027,610577,323070,287507,651000,346000,305000,683000,362000,321000,713000,377000,336000
Tamil Nadu,72147030,36137975,36009055,72138958,36158871,35980087,72147030,36137975,36009055,69610000,34893000,34717000,71009000,35549000,35461000,71950000,35979000,35971000
Tripura,3673917,1874376,1799541,3671032,1871867,1799165,3673917,1874376,1799541,3851000,1968000,1883000,4041000,2062000,1979000,4210000,2144000,2065000
Uttar Pradesh,199812341,104480510,95331831,199581477,104596415,94985062,199812341,104480510,95331831,220106000,115963000,104143000,236522000,124513000,112009000,250250000,131549000,118701000
Uttaranchal,10086292,5137773,4948519,25353081,13505130,11847951,25351462,13494734,11856728,10711000,5472000,5238000,11307000,5785000,5523000,11800000,6042000,5758000
West Bengal,91276115,46809027,44467088,91347736,46927389,44420347,91276115,46809027,44467088,94035000,48246000,45789000,97823000,50056000,47766000,100854000,51452000,49402000
Telegana,35003674,17611633,17392041,35602890,17910001,17490000,,,,,,,,,,3897757,19500000,17680000
TOTAL,1210854977,623270258,587584719,1210193422,623724248,586469174,1210569573,623121843,587447730,1277770000,661763000,616006000,1347742000,698254000,649488000,1406212000,728449000,677763000
